,code,day,open,high,low,close
0,IF1904,20190415,4059,4091.6,3960,3967.8
1,IF1904,20190416,3960.2,4094,3951.2,4093
2,IF1904,20190417,4080.2,4111.4,4056.4,4080.6
3,IF1904,20190418,4081.8,4093.8,4058.4,4070.6
4,IF1904,20190419,4076.2,4119,4046,4091.6
5,IF1905,20190422,4130,4134.4,3993.6,4020.2
6,IF1905,20190423,4013.8,4065.6,4005.2,4018.8
7,IF1905,20190424,4037,4044,3962.6,4025
8,IF1905,20190425,4015.4,4024.4,3945.2,3948.6
9,IF1905,20190426,3940,3955.8,3882.2,3891.4
10,IF1905,20190429,3905,3962.8,3888,3914.8
11,IF1905,20190430,3902,3929.6,3893.6,3913.8
12,IF1905,20190506,3776.8,3808.2,3623.4,3668
13,IF1905,20190507,3708,3743.4,3676,3714.4
14,IF1905,20190508,3655.4,3730.8,3651.4,3664.2
15,IF1905,20190509,3642,3661.4,3572.2,3597.6
16,IF1905,20190510,3651.4,3742,3564.4,3711
17,IF1905,20190513,3672.2,3691.8,3635.6,3657.2
18,IF1905,20190514,3646,3686.4,3626.2,3638.6
19,IF1905,20190515,3680,3744.6,3666.6,3715.2
20,IF1905,20190516,3706.6,3740,3692,3732.8
21,IF1905,20190517,3730.8,3744.4,3665.2,3666.4
22,IF1906,20190520,3622.4,3625.6,3551.2,3587.8
23,IF1906,20190521,3597.8,3673.6,3590.8,3625.2
24,IF1906,20190522,3629.2,3642,3590.6,3622
25,IF1906,20190523,3603.6,3607.4,3545.8,3557.6
26,IF1906,20190524,3571,3606,3553,3569.4
27,IF1906,20190527,3574.2,3630,3525,3607.2
28,IF1906,20190528,3605.4,3658.4,3603.8,3626
29,IF1906,20190529,3614.8,3671.4,3608.2,3627.4
30,IF1906,20190530,3630.8,3632,3568,3619.4
31,IF1906,20190531,3613.2,3653.6,3591,3594.8
32,IF1906,20190603,3620.2,3661.6,3582,3613.8
33,IF1906,20190604,3613,3620.8,3565.6,3586.2
34,IF1906,20190605,3618,3623,3573,3574.6
35,IF1906,20190606,3578,3584,3542.6,3544.6
36,IF1906,20190610,3566.6,3615.6,3553.8,3591.8
37,IF1906,20190611,3601.2,3717.8,3600.8,3706.2
38,IF1906,20190612,3695,3699.6,3668,3676
39,IF1906,20190613,3679,3689,3635,3668.6
40,IF1906,20190614,3676,3692.4,3633,3645
41,IF1906,20190617,3647,3680,3635.2,3652
42,IF1906,20190618,3657.6,3673.8,3626.8,3661.2
43,IF1906,20190619,3761,3782,3710.2,3718.4
44,IF1906,20190620,3721,3868,3719.4,3821.6
45,IF1906,20190621,3810.6,3854.2,3810.6,3828.4
46,IF1907,20190624,3810.6,3828.4,3792,3814
47,IF1907,20190625,3810,3814,3725.6,3773
48,IF1907,20190626,3753,3788,3748.6,3769
49,IF1907,20190627,3782,3839.6,3780.4,3813.8
50,IF1907,20190628,3808.4,3817.6,3781,3817.6
51,IF1907,20190701,3893,3927,3866,3911
52,IF1907,20190702,3900.2,3919.2,3895.2,3913
53,IF1907,20190703,3900,3903,3866.2,3879.2
54,IF1907,20190704,3884.4,3895.8,3832.4,3855.8
55,IF1907,20190705,3857,3883.4,3844,3874.6
56,IF1907,20190708,3856.8,3856.8,3747.2,3780
57,IF1907,20190709,3788.8,3795.6,3756,3771.4
58,IF1907,20190710,3792.6,3797,3759.2,3772.6
59,IF1907,20190711,3793,3822.4,3753.2,3769.2
60,IF1907,20190712,3770,3817.6,3763.2,3799.8
61,IF1907,20190715,3778,3848,3731.6,3817.8
62,IF1907,20190716,3812.2,3827,3794,3803.4
63,IF1907,20190717,3790,3818,3774.2,3794.6
64,IF1907,20190718,3780,3790.8,3769,3770.6
65,IF1907,20190719,3787,3834.6,3787,3805.8
66,IF1908,20190722,3804,3813.8,3750,3769.2
67,IF1908,20190723,3780.2,3787,3763,3780
68,IF1908,20190724,3795.2,3843.8,3795,3810
69,IF1908,20190725,3815,3849.6,3807.2,3848.8
70,IF1908,20190726,3833.2,3862.6,3831.2,3851.8
71,IF1908,20190729,3848,3854,3827.4,3843.6
72,IF1908,20190730,3852.8,3888.8,3852,3861.4
73,IF1908,20190731,3848,3848.4,3824.4,3838
74,IF1908,20190801,3817.6,3829.6,3785.2,3798.4
75,IF1908,20190802,3720,3748,3711.6,3740
76,IF1908,20190805,3711,3724,3663,3667
77,IF1908,20190806,3607.4,3639,3572.8,3625.8
78,IF1908,20190807,3641,3643.8,3596,3598.2
79,IF1908,20190808,3633.4,3652,3619.4,3638.8
80,IF1908,20190809,3656.4,3658.8,3603.4,3621.6
81,IF1908,20190812,3640,3677.4,3626.6,3672.8
82,IF1908,20190813,3655,3664.8,3636.8,3652.2
83,IF1908,20190814,3698,3706.8,3671.4,3673.4
84,IF1908,20190815,3614.4,3698.4,3614,3688.4
85,IF1908,20190816,3686,3735,3680.2,3726
86,IF1909,20190819,3718.4,3787.4,3697.4,3783.4
87,IF1909,20190820,3772.4,3794,3771,3772
88,IF1909,20190821,3770.6,3782.8,3765.6,3775
89,IF1909,20190822,3783.2,3785.6,3758.6,3777.2
90,IF1909,20190823,3780,3824,3772.4,3805.2
91,IF1909,20190826,3755.4,3777.6,3744,3762.2
92,IF1909,20190827,3780,3850.8,3778.4,3803.4
93,IF1909,20190828,3812.8,3817.6,3786,3795
94,IF1909,20190829,3798.4,3800.2,3758.8,3782.2
95,IF1909,20190830,3807.6,3829.6,3766,3791.8
96,IF1909,20190902,3793.6,3858,3788.6,3832.6
97,IF1909,20190903,3839.8,3844.6,3823,3835
98,IF1909,20190904,3842,3888.8,3835.4,3888
99,IF1909,20190905,3914.8,3980.6,3914,3923.6
100,IF1909,20190906,3941,3958,3928.2,3958
101,IF1909,20190909,3980,3983.8,3952.6,3968.2
102,IF1909,20190910,3976.2,3978,3938.2,3960.6
103,IF1909,20190911,3969,3972.6,3926,3933.8
104,IF1909,20190912,3953.4,3987.6,3942,3976.8
105,IF1909,20190916,3976.8,3978.8,3938.6,3959.8
106,IF1909,20190917,3949.8,3951.8,3875.6,3888.4
107,IF1909,20190918,3903.4,3922,3898.6,3904.2
108,IF1909,20190919,3916.6,3925,3893.2,3925
109,IF1909,20190920,3930.6,3939.4,3922,3932
110,IF1910,20190923,3912.2,3913,3867.6,3894.8
111,IF1910,20190924,3902,3934,3889.2,3894.6
112,IF1910,20190925,3884.6,3894,3868.6,3869.6
113,IF1910,20190926,3885,3895.4,3841.8,3844.4
114,IF1910,20190927,3852.2,3864.2,3840.2,3855.8
115,IF1910,20190930,3850,3859.4,3792.6,3794
116,IF1910,20191008,3811,3855.8,3810,3828
117,IF1910,20191009,3811,3839.6,3795.6,3832.8
118,IF1910,20191010,3824.8,3871.2,3820.8,3863.8
119,IF1910,20191011,3875.8,3926.6,3857.2,3913.4
120,IF1910,20191014,3943.4,3988.6,3931.4,3945.2
121,IF1910,20191015,3943,3948.6,3931,3934.8
122,IF1910,20191016,3938.8,3968.4,3915,3917.8
123,IF1910,20191017,3925.6,3938.6,3913,3926.8
124,IF1910,20191018,3932.4,3944.8,3876,3880.6
125,IF1911,20191021,3856.6,3875,3847,3866.8
126,IF1911,20191022,3879,3892.4,3852.4,3878.8
127,IF1911,20191023,3874,3888.8,3843,3862.8
128,IF1911,20191024,3865.4,3884.8,3841.6,3870.4
129,IF1911,20191025,3864,3902,3837.2,3899
130,IF1911,20191028,3908,3930,3895.6,3919
131,IF1911,20191029,3920.4,3924.6,3903.6,3905
132,IF1911,20191030,3900.2,3906,3870,3877
133,IF1911,20191031,3891.6,3896.6,3865,3879
134,IF1911,20191101,3875,3960,3866.6,3959.4
135,IF1911,20191104,3969.8,3982.8,3960.2,3974.2
136,IF1911,20191105,3978.6,4039.8,3968.8,3996.4
137,IF1911,20191106,3999,4004.4,3969.4,3983
138,IF1911,20191107,3979.6,4014,3971.6,3990.2
139,IF1911,20191108,4015.4,4021.8,3967.2,3968.8
140,IF1911,20191111,3940,3945.8,3894,3906.6
141,IF1911,20191112,3913,3920.6,3876.8,3897.6
142,IF1911,20191113,3891,3905.8,3880.6,3900
143,IF1911,20191114,3906.4,3915.6,3891.8,3900
144,IF1911,20191115,3906,3919.8,3880.2,3892.4
145,IF1912,20191118,3877.6,3919.6,3867,3908.8
146,IF1912,20191119,3904.6,3953.6,3902.2,3953.6
147,IF1912,20191120,3941.8,3947.4,3896.6,3907.8
148,IF1912,20191121,3890.2,3906.6,3870.2,3888.4
149,IF1912,20191122,3901,3928.8,3828.2,3839.6
150,IF1912,20191125,3853.6,3877.8,3842.2,3873.4
151,IF1912,20191126,3890,3896.8,3860.8,3875.8
152,IF1912,20191127,3873,3894.6,3854.8,3878.8
153,IF1912,20191128,3874.8,3893,3856.2,3868.6
154,IF1912,20191129,3861,3872,3808,3827.4
155,IF1912,20191202,3842.4,3854.8,3828.2,3838
156,IF1912,20191203,3828.6,3858,3812,3856.6
157,IF1912,20191204,3842.2,3854.8,3829.2,3852.4
158,IF1912,20191205,3864,3893,3861.4,3880
159,IF1912,20191206,3884,3910.6,3881.8,3909.6
160,IF1912,20191209,3915.8,3917.8,3888.6,3900.4
161,IF1912,20191210,3889.4,3910,3888,3903
162,IF1912,20191211,3910,3913.6,3892,3909.2
163,IF1912,20191212,3915,3915.8,3894,3895.4
164,IF1912,20191213,3930,3988,3929,3979.6
165,IF1912,20191216,3969,3994.4,3960.4,3988
166,IF1912,20191217,3991.6,4081,3987.2,4048.2
167,IF1912,20191218,4049.6,4068,4032,4038.4
168,IF1912,20191219,4038,4043,4019,4028.8
169,IF1912,20191220,4038,4048,4025,4026.8
170,IF2001,20191223,4031,4053,3972.6,3979.4
171,IF2001,20191224,3990,4008.6,3977.4,3998.4
172,IF2001,20191225,3996,4011.2,3982.4,4002.8
173,IF2001,20191226,4005,4036,4003.6,4034.6
174,IF2001,20191227,4038.8,4083,4028,4028
175,IF2001,20191230,4027.6,4106.2,4014.2,4090.8
176,IF2001,20191231,4090,4116.2,4077.4,4109.4
